0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
-1.6804016,1.6690942,-1.7425104,0.9712013,1.1161256,-0.7744136,-1.0767071,-0.28103977,-1.117603,3.897171,0.7391015,-1.1651328,1.2091538,-1.2971234,3.5082195,-0.020457432,-2.6318898,2.7698824,-1.9376173,0.7049365,0.5211727,1.5212102,2.6496906,1.8190143,1.5875671,1.2453938,2.2060046,-2.6911802,1.624968,-5.1701193,-1.1575878,4.465512,-2.5769787,3.3823442,-1.4017054,-5.7162533,0.4547116,1.6744843,0.41973168,1.9829082,-2.754672,-0.2737063,3.1197727,1.9063737,-1.343014,-0.24533308,4.592253,-0.45302543,-3.7218359,-0.1118372,-0.35952702,2.656362,0.89733773,-2.4997675,-2.9450169,-0.14756903,-1.9918785,-0.35522896,-2.2741234,1.2423143,2.633863,2.200064,2.9660041,-3.3898325,2.6289434,-1.7118709,-0.9014415,0.66368836,1.1297759,-1.4982694,-2.0803585,3.2621124,-0.633846,0.5267422,-3.7683296,4.073261,-5.7977657,1.6996429,-2.0056596,-0.93601024,-2.4309342,2.6792133,1.7136328,0.41460946,1.4943451,-2.2358737,-1.2404522,3.3871064,0.59724796,0.4819321,-3.077496,-0.27568507,-4.9346194,0.6288258,2.1314342,0.28720155,1.0680723,1.6337811,1.0824395,2.087271,-2.527764,0.22210613,1.2490468,-3.4566336,-0.9626615,0.1434091,1.1522748,3.5040743,0.43321195,-0.08088651,-1.8485421,-3.2938976,3.2536974,-1.5184083,1.4215015,-1.5741112,1.8438426,3.309949,-0.96887404,1.5173818,-4.0553613,-2.9350622,-1.0116019,-3.5749815,-1.0511093,-0.96218324,-3.2500403,-3.057233
-1.4288176,1.629663,-1.7705765,0.9806614,1.2452723,-0.70745766,-1.1745677,-0.31531733,-1.0218064,3.645832,0.7165137,-1.047244,1.1878098,-1.2971511,3.4873822,0.0709995,-2.5151095,2.6879919,-1.822315,0.5791439,0.32193932,1.389701,2.6144378,1.71281,1.483839,1.1460388,2.103197,-2.8118424,1.6286843,-5.051665,-1.0718967,4.3051705,-2.4913237,3.3155327,-1.4958961,-5.6297503,0.44480667,1.5858501,0.24588406,1.899838,-2.7059734,-0.39234692,3.0230157,1.8997235,-1.3926768,-0.3217596,4.5721064,-0.39335954,-3.537517,-0.2593552,-0.3137354,2.5743375,0.8579712,-2.378215,-2.8455467,-0.100646414,-1.9697158,-0.24332824,-2.1532404,1.3170602,2.6768572,2.1366048,3.0716088,-3.2477987,2.4038146,-1.6832116,-0.8040693,0.5361326,1.0182201,-1.3032444,-1.919049,3.0030835,-0.6755202,0.39449686,-3.7613878,3.8900604,-5.594659,1.6239496,-1.9327002,-1.0477991,-2.396706,2.5649993,1.6145898,0.37606442,1.3938204,-2.1226459,-1.3202302,3.2021565,0.54885733,0.42595118,-2.8909094,-0.16430748,-4.706897,0.6854798,2.049607,0.16043693,1.0407708,1.6900995,0.92314327,2.1446118,-2.5150943,0.28419343,1.2693489,-3.282461,-0.94994044,0.2234743,1.1971118,3.355911,0.32607383,0.024583966,-1.5481495,-3.0996108,3.1572511,-1.5744854,1.4099827,-1.4942265,1.8267965,3.2416358,-0.9768309,1.5022596,-4.0931945,-2.9433317,-0.92574686,-3.4893231,-0.8205002,-0.6852288,-3.139225,-2.924444
-1.3084455,1.4912031,-1.8713398,1.2455959,1.3612672,-0.8810196,-1.2216568,-0.10888407,-0.88037455,3.1355693,0.6755752,-1.2213739,0.8904116,-1.0494845,3.3757722,-0.14387174,-2.1619802,3.1185002,-1.7811265,0.42419133,0.031708755,1.3245066,2.757811,1.8530734,1.2873873,1.2971007,1.8320277,-3.0220313,2.0453928,-4.7410316,-1.2292496,4.0382047,-2.5647235,3.7957675,-1.8641056,-5.9138384,0.28747454,1.2450162,0.24480379,2.0322318,-3.077799,-0.4459081,3.1970985,2.042113,-1.427018,-0.6218671,4.5642595,-0.3457282,-3.595269,-0.41357523,-0.3550775,2.5796325,0.5801288,-2.2535164,-3.0255864,-0.09077857,-1.3677201,0.18942124,-2.1522727,1.402725,2.55364,2.0152519,2.94411,-3.0535028,2.3758848,-1.6621647,-0.8821948,0.23823725,1.0117321,-1.3903414,-1.748744,2.4658968,-0.64857566,0.1566245,-3.682598,3.8517842,-5.6854286,1.7271911,-1.9877334,-1.0713016,-2.5493536,2.717654,1.4849501,0.2340168,1.3742653,-2.2634566,-1.410152,3.2165823,0.5174554,0.1539538,-2.7941828,-0.19674116,-4.7886333,0.7351153,1.7287657,0.15662992,0.76260287,1.326799,0.89093107,1.9752488,-2.6449788,0.5771127,1.3290901,-3.0757284,-0.77445,0.47024873,1.1867023,3.6354983,0.581068,0.40164685,-1.4809929,-3.0174072,3.0219786,-1.55985,1.3402152,-1.5948765,1.5513936,3.1399827,-0.9535821,1.258494,-3.9529843,-3.0237377,-0.9123518,-3.5637815,-0.49787804,-0.54501855,-2.9910493,-2.6572602
-1.3138516,1.5996172,-1.8506124,0.75948,1.05334,-0.5725316,-1.1536586,-0.011663482,-0.9008173,3.3588011,0.64862573,-1.0079827,0.79107773,-1.1852155,3.341946,0.09582907,-2.310757,2.6473572,-1.3991299,0.41836637,0.121356495,1.266441,2.6550744,2.1240907,1.2808367,1.3346956,1.8841801,-2.8735092,2.0077925,-4.4820566,-1.0864023,4.115657,-2.5105858,3.5231407,-1.5619556,-5.706295,0.23532909,1.4257271,0.13747475,1.8388314,-2.805512,-0.51348263,2.7735803,1.8957072,-1.1822381,-0.48521566,4.508828,-0.1770711,-3.564359,-0.5996699,-0.37366775,2.5449293,0.48003978,-2.257262,-2.8396263,0.002371572,-1.6934159,0.22056025,-1.9899421,1.3638539,2.726481,2.0681126,2.9745822,-3.0789075,2.4862437,-1.5613992,-0.66931605,0.304523,1.1354377,-1.3285177,-1.5965048,2.4512649,-0.5583902,0.3072927,-3.7015803,3.8056555,-5.594119,1.7608637,-1.6292611,-1.0439632,-2.3312578,2.425821,1.5009074,0.14960763,1.144077,-2.2897606,-1.0861098,3.1492465,0.67475045,0.31398606,-2.6712813,-0.05346965,-4.492383,0.7228952,1.8036251,0.070506364,0.68478894,1.6128987,0.71268743,1.6619465,-2.4832458,0.38000235,1.6818464,-2.96848,-0.9757484,0.33394656,1.4458938,3.1813207,0.36146066,0.1491271,-1.2496465,-3.08921,3.0392354,-1.2851609,1.3815674,-1.4153898,1.5081111,2.9214067,-0.7479777,1.2934985,-3.8635895,-2.8894947,-0.7688579,-3.5239727,-0.782481,-0.58674014,-2.8289921,-2.8261123
-1.262125,1.5336851,-1.5266218,1.3098987,1.3718055,-0.80341434,-1.1453257,-0.23709033,-0.76205033,3.2201376,0.5342107,-1.1505417,0.9439939,-1.220593,3.2709944,-0.20529236,-2.0530274,3.0050285,-1.7133193,0.3894949,-0.03204777,1.1802816,2.5996783,1.9806875,1.3550631,1.2163926,1.7520199,-2.5810478,1.946732,-4.59931,-1.1832999,3.8935938,-2.510047,3.6546698,-1.7689122,-5.709245,0.37689888,1.0265262,0.388038,1.8227894,-2.7278037,-0.34641957,3.1059263,2.0810347,-1.5041665,-0.46654952,4.3106327,-0.44826728,-3.548591,-0.62770855,-0.15922943,2.6502347,0.6202656,-2.009192,-2.7338803,0.038393997,-1.3978553,0.26800343,-2.3734283,1.2193344,2.0842807,2.058774,2.607705,-3.1077871,2.5451427,-1.3841403,-0.5398602,0.17499183,0.96770537,-1.4366192,-1.5629572,2.6420147,-0.8657652,0.14927506,-3.6733494,3.7628984,-5.459914,1.4799963,-2.0147948,-0.7119031,-2.4597392,2.5478578,1.3050833,0.11897507,1.0492177,-2.3589115,-1.2676644,3.1502533,0.49001107,0.12196173,-2.794233,-0.26666695,-4.8620086,0.6173802,1.743846,0.054077767,0.61025935,1.0276471,0.83209115,1.9453149,-2.687928,0.6199004,1.3835726,-3.287891,-0.67007893,0.4215968,0.98493826,3.5413618,0.21773449,0.4008979,-1.4326857,-2.8157604,2.8443375,-1.4282863,1.2031846,-1.3572981,1.5800989,2.7409194,-0.97155946,1.3329244,-3.790983,-3.0292377,-0.70981026,-3.4286911,-0.6029134,-0.57594514,-2.8684576,-2.5752037
-1.3629428,1.5147634,-1.7035491,0.9604043,0.98908174,-0.7591355,-1.1048746,-0.1533023,-0.85537905,3.4316726,0.66805947,-0.9882514,1.0504673,-1.0314441,3.3633811,0.08383119,-2.4442449,2.8653057,-1.6588755,0.5186792,0.18560898,1.2687415,2.5568144,1.8852977,1.5470728,1.2267344,1.8300288,-2.498082,1.839539,-4.517966,-1.2444296,3.963695,-2.5290856,3.4432378,-1.5455896,-5.5331793,0.28420466,1.2484841,0.36015686,1.8521595,-2.5682335,-0.41292918,2.7573237,1.7799127,-1.2109017,-0.45784557,4.416464,-0.3100395,-3.510319,-0.6130704,-0.43105152,2.5209544,0.39541584,-2.2258964,-2.689643,-0.10961781,-1.7024344,0.21019357,-2.0443017,1.2472384,2.4425266,2.0564718,2.7727458,-2.9754562,2.4231458,-1.4888406,-0.6380631,0.2955336,1.2354944,-1.3460928,-1.6084247,2.603804,-0.70416564,0.36162993,-3.737577,3.7856998,-5.499299,1.6447742,-1.8420084,-1.1005467,-2.498109,2.3189075,1.5135146,0.23999989,1.2182246,-2.3757014,-0.99806166,3.349256,0.80679405,0.31453043,-2.829541,-0.2875974,-4.498405,0.6769774,1.7877932,0.3179407,0.73681533,1.381029,0.66312313,1.7366052,-2.2934747,0.39679107,1.4504001,-3.0431557,-0.8282832,0.2521229,1.2244874,3.417768,0.392293,0.12837794,-1.2868478,-3.0985904,3.1279285,-1.4868249,1.2967573,-1.3479648,1.5251912,2.8718367,-1.0099723,1.2388169,-3.8517344,-2.8186927,-0.7833397,-3.5473006,-0.815096,-0.74913716,-3.0195591,-2.6820602
-1.6463568,1.51717,-1.6195943,1.3462291,1.2418256,-1.0158467,-1.0359368,-0.57090163,-0.7545713,3.585328,0.7485978,-1.026084,1.3237292,-1.1356149,3.4088864,-0.07443367,-2.4381747,3.1680026,-1.9878961,0.6884715,0.33927503,1.3588189,2.6290529,1.7261282,1.4354073,1.1158364,1.9695511,-2.6206706,1.4819975,-5.1339817,-1.3146553,4.30886,-2.5895405,3.4996126,-1.647492,-5.7665486,0.5700487,1.3358651,0.4673489,1.8041736,-2.7394834,-0.2890618,3.2522318,1.8526865,-1.5222076,-0.35846552,4.434867,-0.5065163,-3.5518038,-0.45006114,-0.36563027,2.776683,0.8212517,-2.2122343,-2.8200088,-0.12942651,-1.7076805,-0.13085684,-2.3301423,1.287076,2.3202407,2.1992686,2.9205124,-3.140735,2.439055,-1.6484894,-0.806167,0.65923434,1.1835082,-1.4711398,-1.955972,3.0026412,-0.85371166,0.43072382,-3.637693,3.8854666,-5.702437,1.5794259,-2.3149364,-1.0650086,-2.6371176,2.6117969,1.6069772,0.3948957,1.3833061,-2.1841362,-1.2359371,3.2989807,0.47648403,0.2526996,-3.0759184,-0.31327683,-4.9203234,0.57171345,2.0370767,0.08954477,1.0757769,1.4529035,1.0573509,2.2283268,-2.3517077,0.32797685,1.0399384,-3.4311626,-0.7507875,0.19692025,0.97793794,3.7004888,0.56051034,0.22683337,-1.7405472,-3.1791718,3.1634998,-1.7794114,1.3052717,-1.5419657,1.8779161,3.2359917,-1.2100035,1.5097626,-4.129241,-2.974324,-0.94229484,-3.5740473,-0.83728987,-0.81421244,-3.3906016,-2.779572
-1.4280142,1.5892553,-1.7760392,1.2311943,1.2955406,-0.86087894,-1.1068752,-0.23856695,-0.8782194,3.5079317,0.7232312,-1.2980336,1.1126908,-1.2975974,3.442818,-0.20019092,-2.2175841,2.9631977,-1.8567858,0.56818426,0.12199149,1.3703215,2.6998234,1.9250433,1.419776,1.323762,1.9760675,-2.970507,1.8334872,-5.044534,-1.15856,4.2812624,-2.664547,3.7404747,-1.7102336,-5.875762,0.4612407,1.4061327,0.30652002,1.9130394,-3.0005102,-0.38469,3.2588637,2.0718336,-1.5505419,-0.4694333,4.5869946,-0.51182324,-3.6240468,-0.46000132,-0.23329598,2.7784073,0.666365,-2.2900622,-3.0120077,-0.071633436,-1.67545,-0.0055578947,-2.4362576,1.3839875,2.5887134,2.171711,2.921548,-3.344338,2.5634108,-1.6197942,-0.7349022,0.36059082,1.0686516,-1.4777389,-1.9090763,2.7898326,-0.76412237,0.3136022,-3.6734126,3.9588275,-5.7714844,1.676237,-2.0995803,-0.91591775,-2.5969348,2.740871,1.4254037,0.24656439,1.198331,-2.3341925,-1.444252,3.2859452,0.55242777,0.21940376,-2.9253955,-0.13231653,-5.0252786,0.67723036,1.9878252,0.08625325,0.8552577,1.4492421,1.031847,2.1211853,-2.6171637,0.46349993,1.4207735,-3.4279718,-0.8221487,0.43316147,1.1663511,3.6633866,0.3638688,0.3645238,-1.7017078,-3.1115322,3.0421424,-1.6034675,1.414044,-1.6068425,1.7313029,3.1365492,-0.9925942,1.4530327,-3.9966295,-3.086867,-0.8986137,-3.5785856,-0.7311724,-0.64244777,-3.0944493,-2.7871544
-1.3776098,1.5363903,-1.846025,1.03951,0.9610615,-0.8377223,-1.007302,-0.10088268,-0.9706984,3.4322295,0.6381514,-0.9745144,0.98343325,-1.1592524,3.1798484,-0.017364219,-2.242601,2.7657747,-1.5939584,0.6346293,0.16886431,1.3478792,2.5227413,1.9666734,1.5604588,1.3747611,1.9021118,-2.8006487,1.7684097,-4.57905,-1.181106,4.0509806,-2.5085177,3.7865329,-1.5250269,-5.687669,0.33283848,1.3192295,0.15220445,1.8762424,-2.88965,-0.42185026,3.0934145,1.948946,-1.2659168,-0.36502862,4.489405,-0.4682387,-3.5296426,-0.45273304,-0.4019665,2.595028,0.60094404,-2.2017996,-2.7909462,-0.020651855,-1.5852188,0.06364568,-2.1714594,1.3335586,2.584828,2.1598275,2.916716,-3.2477582,2.3282678,-1.6055498,-0.7778518,0.3619159,1.2793592,-1.5610679,-1.7159606,2.3674762,-0.6952905,0.37758896,-3.6200418,3.999043,-5.692393,1.6907517,-1.8448968,-0.97569996,-2.617024,2.5420766,1.5107718,0.37513897,1.1737067,-2.32481,-1.2294958,3.179035,0.77178216,0.2748146,-2.721135,-0.019876651,-4.5693374,0.7209717,1.7604803,0.14568175,0.8464275,1.5231403,0.93225026,1.9511147,-2.5026875,0.54299384,1.3321533,-3.1121848,-0.825557,0.4169856,1.1402283,3.5309925,0.4910561,0.29572806,-1.5081569,-3.0989573,3.1494856,-1.5400854,1.3468884,-1.458293,1.6050743,3.0380306,-0.7524037,1.3505968,-3.776737,-3.0168738,-0.9387566,-3.5864959,-0.752214,-0.6096065,-3.0245864,-2.7581668
-1.5152093,1.4962118,-1.8576725,1.2339221,0.93684983,-0.8886466,-1.0063443,-0.06101711,-0.7506633,3.2968085,0.6576104,-1.271929,0.86576337,-1.0832837,3.4271095,-0.11771412,-2.2466338,3.0810347,-1.6842735,0.5709696,0.2610789,1.3966922,2.702148,1.9561735,1.301157,1.3629024,1.9439187,-2.9311347,1.8027978,-4.473059,-1.4420516,4.039625,-2.425854,3.7274158,-1.7950875,-5.795203,0.28266928,1.3124877,0.276544,2.0173514,-2.9273078,-0.23795402,3.0679653,1.8952368,-1.2039155,-0.8306043,4.342466,-0.23175716,-3.6758394,-0.4481659,-0.2889305,2.6616886,0.5280963,-2.4041932,-2.932681,-0.15427312,-1.4056308,0.13689326,-2.2335978,1.3278424,2.5543346,2.0098426,2.6164012,-3.0440764,2.4104156,-1.6345398,-0.8170909,0.34032995,1.2701012,-1.2743362,-1.7665818,2.479077,-0.6913346,0.1943134,-3.470547,3.6588798,-5.625615,1.8149014,-1.8385378,-1.0327446,-2.5062377,2.6438816,1.4051197,0.23957855,1.2265564,-2.2510755,-1.2151308,3.3193774,0.72260666,0.13235386,-2.8324287,-0.23295444,-4.7071652,0.36299047,1.774036,0.08314532,0.8993733,1.1727315,0.9241998,1.8905745,-2.4679747,0.4351876,1.5268836,-3.0861392,-0.77593714,0.44755992,1.225405,3.4419591,0.50104797,0.18415675,-1.4961318,-3.0573354,2.834556,-1.4983535,1.4264852,-1.4635816,1.5068768,3.2780159,-0.9867086,1.2084653,-3.8410442,-2.9934967,-0.84026986,-3.233757,-0.74212676,-0.6097673,-3.0135322,-2.6955814
-1.1958994,1.5527798,-1.7927511,1.0980653,1.3717189,-0.7316325,-1.3417945,-0.28675658,-0.6931749,3.1209285,0.75416595,-1.100742,0.96773636,-1.1302674,3.1512153,-0.19164167,-2.255605,2.7950354,-1.6710969,0.3662682,-0.00746008,1.1788138,2.5745034,1.8493237,1.2809727,1.1018999,1.4732056,-2.8693123,1.8740153,-4.6484246,-1.1023343,4.0198436,-2.5556355,3.3329368,-1.6145989,-5.385133,0.10644894,1.215645,0.34345752,1.6916904,-2.8339508,-0.6779171,2.9207857,1.8462133,-1.4102318,-0.28553912,4.389095,-0.41245633,-3.2986326,-0.51087624,-0.22456127,2.3354778,0.71705496,-1.8345292,-2.796156,-0.09542296,-1.3916371,0.014204789,-1.991003,1.3667276,2.1673727,2.1093822,2.7293184,-3.0249739,2.3437257,-1.3527007,-0.56138116,0.53882074,0.83414197,-1.2603434,-1.7042965,2.6177537,-0.7574498,0.04876092,-3.5480661,3.5878673,-5.17205,1.604932,-1.795229,-0.89648044,-2.13447,2.5787559,1.3795247,0.25923327,1.2302169,-2.0543995,-1.3263841,2.8492942,0.36082098,0.4939654,-2.6221373,-0.1068412,-4.7182026,0.78381103,1.8306354,0.19356614,0.7995579,1.6668365,0.7172724,1.9067852,-2.399033,0.54102224,1.3663754,-3.0268466,-0.8936651,0.22450706,1.1591375,3.0687273,0.39574233,0.21800172,-1.3155264,-2.817177,2.8827407,-1.5926461,1.263176,-1.4629126,1.6040474,2.9031084,-0.7818019,1.475455,-3.8408914,-2.6772382,-0.63696533,-3.3164628,-0.6849321,-0.38433722,-2.786974,-2.5047572
-1.763587,1.7267416,-1.6491988,1.0925863,1.2087735,-0.9593581,-1.1034272,-0.36707866,-1.080333,4.0441427,0.6197703,-1.0575372,1.1736041,-1.2489226,3.3830316,0.010734513,-2.7718434,3.0213523,-2.1074092,0.7767606,0.4509419,1.6533693,2.6467657,1.7535856,1.7441498,1.1131041,2.0620914,-2.4435046,1.5640804,-5.277619,-1.2318273,4.4772067,-2.7348373,3.4981048,-1.3327156,-5.7931976,0.41239852,1.5260435,0.53817886,1.9855337,-2.7046485,-0.19475071,3.28472,1.9455671,-1.4676332,-0.13364863,4.6871004,-0.4830822,-3.8133054,-0.0791791,-0.44068798,2.6418061,0.9713452,-2.4048054,-2.9059036,-0.2450256,-1.9214534,-0.3911116,-2.3315208,1.2125702,2.326803,2.3893604,2.8234675,-3.412081,2.6616983,-1.6518747,-0.83329993,0.69690305,1.1410055,-1.663757,-2.0716233,3.2468264,-0.7600214,0.56038535,-3.9713447,4.2851515,-5.9308863,1.6670893,-2.1706698,-0.8540652,-2.5493476,2.7182016,1.7799766,0.4766107,1.545924,-2.4449854,-1.3412477,3.3934934,0.616848,0.5832865,-3.04281,-0.43355417,-5.110521,0.7083249,2.066285,0.44012424,1.1996791,1.5002171,1.1669378,2.0944858,-2.5680845,0.33238724,1.1092176,-3.6337237,-0.91326356,0.07537279,1.0140175,3.673012,0.506063,-0.05618736,-1.7787977,-3.271092,3.4537377,-1.7878402,1.3681344,-1.608345,1.9186096,3.3112931,-0.9643131,1.4868402,-4.0724077,-2.798681,-1.076242,-3.677418,-1.136663,-1.0314242,-3.4289715,-3.0462039
-1.4546788,1.5470593,-1.6602836,1.2563343,1.1985166,-0.75014615,-1.0885355,-0.26074207,-0.8685394,3.3339329,0.74757016,-1.2895408,0.9672004,-1.3005302,3.391929,-0.26987344,-2.212124,2.8999562,-1.7960589,0.48653668,0.26424888,1.35296,2.6750624,1.8974075,1.3431089,1.3347998,2.0025592,-2.93029,1.8325129,-4.835569,-1.2769397,4.1548705,-2.4525864,3.5881279,-1.7642955,-5.8194146,0.4287559,1.3611157,0.33750942,1.926752,-2.8251774,-0.26554888,3.1717045,1.9654244,-1.2965848,-0.5240185,4.459743,-0.41480657,-3.6111531,-0.33109057,-0.19610137,2.8132892,0.6210334,-2.3484154,-2.9604726,-0.04690007,-1.5354873,-0.0031148829,-2.3816063,1.2569797,2.5048153,2.0856495,2.7106614,-3.2588687,2.5686498,-1.5775863,-0.7638949,0.43617994,1.0026475,-1.2656981,-1.9002581,2.835902,-0.68464863,0.1624901,-3.512351,3.7692122,-5.5439544,1.7316371,-2.0300121,-0.843132,-2.431348,2.7141175,1.4630295,0.22856352,1.2393094,-2.2478228,-1.3578951,3.1911805,0.5540674,0.19942735,-2.9529366,-0.20201504,-4.930781,0.4582955,1.8931043,-0.028232612,0.7802629,1.3370315,0.95031047,2.0322192,-2.6337276,0.48731628,1.4512322,-3.3076043,-0.8458426,0.36784068,1.118102,3.4990294,0.31701112,0.27160996,-1.5379971,-3.016608,2.9452171,-1.5026037,1.4417113,-1.508951,1.6802341,3.1259828,-0.93951076,1.3897128,-3.985199,-3.123028,-0.89157385,-3.3990269,-0.7505724,-0.6845372,-2.9202785,-2.700605
-1.5644232,1.6452241,-1.6533058,1.17437,1.2458403,-0.9302354,-1.198344,-0.28099364,-1.054847,3.73568,0.683933,-1.1154579,1.1726037,-1.2785196,3.3858562,-0.027574703,-2.608402,2.9726973,-1.9397643,0.6464037,0.3099164,1.4787263,2.623624,1.7550226,1.7335155,1.1603618,2.0487516,-2.6706436,1.6789012,-5.0984216,-1.2565099,4.3112683,-2.688408,3.568029,-1.4443752,-5.7313323,0.36530244,1.491778,0.41053975,1.9869463,-2.7251363,-0.3069749,3.2287407,1.9867284,-1.4315953,-0.21942547,4.6722746,-0.5128395,-3.6851287,-0.26677525,-0.36107716,2.6487796,0.759305,-2.3467257,-2.9264843,-0.21465215,-1.8347254,-0.20180157,-2.3780775,1.2615805,2.436953,2.27518,2.871021,-3.329478,2.5639238,-1.5741343,-0.7411454,0.51731634,1.1417078,-1.5196693,-1.8937868,2.9961584,-0.7741148,0.39975324,-3.8764322,4.1482882,-5.744603,1.6306614,-2.107767,-0.8830096,-2.5682333,2.6234238,1.6340321,0.38592273,1.4063519,-2.4476683,-1.3674638,3.3539197,0.70507026,0.40178883,-3.017322,-0.3371498,-5.0062013,0.7676894,2.0017889,0.39009365,0.9980391,1.4884763,0.9901421,2.1336932,-2.5884204,0.47902313,1.2713234,-3.4158812,-0.8490954,0.28306398,1.044758,3.6262686,0.45494175,0.15105519,-1.5858518,-3.1597235,3.3819752,-1.7158672,1.3818306,-1.562882,1.8336757,3.159277,-0.9729623,1.5062826,-4.1871443,-2.9323397,-0.96556264,-3.6578166,-0.94497246,-0.7782552,-3.268885,-2.8837922
-1.2944158,1.4930372,-1.7212466,1.0863862,1.1298363,-0.6668228,-1.06862,-0.08820981,-0.7183866,2.9763591,0.45208505,-1.0599374,0.78191,-1.1242747,3.1289132,-0.19375856,-2.0104475,2.6391542,-1.6328477,0.38423234,0.16403243,1.222787,2.5077558,1.7632838,1.1243598,1.2309713,1.7353337,-2.7050903,1.8614206,-4.2941775,-1.212628,3.7372622,-2.2895532,3.3836598,-1.7161189,-5.4213476,0.24001023,1.1800839,0.19562235,1.7204093,-2.6902618,-0.28450516,2.9190426,1.8197483,-1.2107885,-0.6292478,4.094626,-0.2725562,-3.4493737,-0.3624722,-0.29253763,2.4867182,0.7364608,-2.099506,-2.5990148,-0.06187401,-1.2485049,0.03900234,-1.9613988,1.2056569,2.2530196,1.9101437,2.553327,-2.9765284,2.2474484,-1.4502275,-0.7506318,0.37435132,0.8161113,-1.1639651,-1.6523511,2.3640537,-0.60861963,0.04475333,-3.4612262,3.4803162,-5.215294,1.6554629,-1.7685578,-0.86092705,-2.1425269,2.45124,1.4467717,0.20545575,1.2586938,-2.0080717,-1.2470024,2.8815053,0.39360446,0.2389348,-2.4775794,-0.18574786,-4.3647933,0.4038231,1.5795624,0.03894814,0.72576344,1.1332687,0.8539858,1.7585554,-2.5195396,0.45000163,1.2735943,-2.9663796,-0.7937447,0.35941896,1.0048037,3.2417662,0.29657772,0.1397036,-1.3123115,-2.8065655,2.6270409,-1.4129754,1.3136822,-1.3303862,1.4757754,3.0076852,-0.74119395,1.2182978,-3.5101793,-2.8659399,-0.83976805,-3.0819056,-0.6127297,-0.5502187,-2.6538203,-2.5068784
-1.6096579,1.6423624,-1.7479122,1.1572764,1.1581753,-0.8623345,-1.1497777,-0.15368694,-1.0395979,3.569621,0.696597,-1.2815753,1.034166,-1.2397926,3.4649637,-0.26693016,-2.3984609,2.9684556,-1.89869,0.5742684,0.368417,1.526254,2.721537,1.7985537,1.5088271,1.3267467,2.105524,-2.8355238,1.8602833,-5.057515,-1.3043604,4.2768774,-2.5776944,3.668654,-1.570716,-5.717974,0.41481823,1.5179043,0.43518072,2.040272,-2.9380567,-0.21847908,3.3304248,2.1336663,-1.4606069,-0.30918273,4.622816,-0.48545867,-3.6612418,-0.13919818,-0.25425628,2.711847,0.7981144,-2.4195101,-3.0629802,-0.14142737,-1.727732,-0.19196364,-2.418918,1.2605574,2.4993012,2.1803179,2.8010113,-3.3473372,2.5978756,-1.6645424,-0.87499017,0.5350507,1.0185934,-1.5101131,-2.0543718,3.0273933,-0.6742803,0.28279915,-3.7133658,4.1236014,-5.763873,1.7291489,-2.1185193,-0.8306973,-2.415619,2.7501078,1.5469157,0.2757455,1.3774579,-2.2387483,-1.4782732,3.2723372,0.6354103,0.3364703,-2.9776464,-0.28681242,-5.1649146,0.6484493,1.9418533,0.22756203,1.013738,1.4127007,1.0901352,2.1203263,-2.693551,0.4885815,1.3696897,-3.449839,-0.8555447,0.31127313,1.0359008,3.5640178,0.42708236,0.20214236,-1.7354226,-3.1192381,3.161001,-1.5878928,1.4499812,-1.6353877,1.7855089,3.2069912,-0.97155553,1.4207457,-4.0038767,-2.9796689,-1.0510613,-3.5891118,-0.8524801,-0.7599878,-3.1302915,-2.94311
